anime_id,AFeature0,AFeature1,AFeature2,AFeature3,AFeature4,AFeature5,AFeature6,AFeature7,AFeature8,AFeature9,AFeature10,AFeature11,AFeature12,AFeature13,AFeature14,AFeature15,AFeature16,AFeature17,AFeature18,AFeature19,AFeature20,AFeature21,AFeature22,AFeature23,AFeature24,AFeature25,AFeature26,AFeature27,AFeature28,AFeature29,AFeature30,AFeature31
1,-0.006071193,0.006746528,0.038890947,-0.0023078176,-0.008532196,0.06292816,-0.020590166,0.01260216,-0.008295831,-0.016850358,0.03328513,0.0601075,-0.014470051,-0.033990394,0.013598317,-0.02650845,-0.00027014947,-0.025301384,-0.010344883,-0.056732684,-0.016598819,-0.019383682,-0.007853743,0.053166002,0.049449112,-0.08574849,-0.018954663,0.0017558606,-0.01922263,-0.023821631,-0.017618727,0.050090883
6,0.06607721,0.02474292,0.043612733,0.048623014,0.019924851,0.048202045,-0.035133965,0.026282324,-0.004703804,-0.0028116647,0.02945203,-0.0022251299,-0.02815083,-0.041653372,-0.02624675,-0.027806085,0.029136322,-0.007799388,-0.011856306,-0.004662325,-0.055304486,-0.033644095,-0.004958141,0.050298728,0.011284306,-0.024192214,0.002924567,0.012634708,0.04968368,-0.0038373847,-0.03314468,0.019442707
20,0.037702974,-0.012475905,0.019328536,0.012866372,-0.023218129,0.06718412,0.009203844,0.017765757,0.031295087,-0.0009314839,0.00025976216,0.0016869074,0.028064772,0.054885946,0.0016720268,0.043942552,0.011759805,0.021422794,0.0016823246,-0.015564888,-0.032728486,-0.06365922,-0.021989997,-0.032122426,-0.011455894,0.008259394,0.022296319,-0.015771873,0.015399801,0.055952504,0.013151558,-0.00045527454
30,-0.043746356,0.03476056,-0.0049840254,-0.027196836,0.048214074,-0.021342421,-0.0358397,-0.0067747827,-0.006423034,0.059106395,0.0036276602,-0.048166532,-0.025886064,0.025573075,0.024988642,0.05236326,-0.016790183,0.00659794,0.07733587,-0.0005248923,0.040052887,-0.0045584706,0.035541613,0.010327555,-0.013627734,-0.038135897,-0.021443786,-0.04591896,0.012465527,0.03723277,0.009837891,0.07049601
43,-0.06443376,0.0067895334,0.001531772,0.0333364,0.012834541,0.0070472327,-0.0026046324,-0.07750953,-0.03955174,0.038692847,0.019097501,0.01869187,-0.00307472,0.052057583,0.021323051,0.042468306,-0.051829338,-0.048124474,-0.06479316,-0.07251556,0.01822515,-0.014390209,0.029697144,0.02168028,0.05119831,-0.023483355,-0.03245849,-0.014712109,-0.0014119379,0.011642176,-0.06329311,0.019280244
44,-0.055718645,-0.05941651,0.06213556,-0.05160875,-0.018941203,0.07163207,0.004559242,-0.054459002,0.04145334,-0.019728364,0.012801036,0.041565523,0.0023601328,0.051547978,0.07280692,-0.058703437,-0.020626228,-0.013081062,-0.04973731,-0.042749293,-0.0037882966,-0.01922985,9.442559e-05,0.0017447057,0.035591032,-0.0003817876,0.019331228,-0.041185454,0.0022308836,0.048823465,-0.0483844,0.07544543
46,-0.05633428,-0.0046299463,0.03944557,0.07778439,0.056972932,-2.678199e-06,-0.018129036,-0.09307502,0.02155228,-0.028372722,-0.02471684,0.004229577,-0.03503055,-0.025647976,-3.1231502e-05,0.04064464,0.104167186,-0.04714413,-0.05334454,-0.0012009782,-0.09811536,0.039951283,0.054732617,-0.0604786,-0.014934782,0.003142432,-0.027237235,0.03785224,0.02992604,-0.023368848,0.021017857,0.01733986
59,0.0077659097,-0.052570634,0.06463803,0.043610256,-0.027766395,0.0068257516,0.0067534726,-0.05640774,-0.045132305,0.058901124,-0.011912428,0.029561862,-0.005322413,0.058559828,0.04996376,-0.029917829,0.016970595,-0.0070951707,0.009875529,-0.041965228,0.01606344,-0.055469017,0.023655824,0.015711783,0.0313255,-0.024345636,0.046915255,-0.01969408,-0.041162066,0.054065146,-0.056819353,-0.021459585
64,-0.016351426,0.02743514,0.041167,-0.055496912,-0.00878622,-0.04072661,-0.08381293,0.004596113,-0.045211524,-0.046453126,-0.0074809133,-0.03198065,0.00022499319,-0.048529185,-0.03282564,-0.019350348,-0.016707797,0.04410067,0.021014363,-0.010391471,0.024285777,-0.053390104,0.07685216,0.03782478,0.025230521,-0.02997913,-0.0011489637,0.037128836,-0.0030284505,-0.0044085863,0.05999967,-0.009219083
71,0.03817335,-0.025610149,-0.015339279,-0.012303083,-0.043939576,-0.031611174,-0.044967365,-0.026776016,0.025672412,0.04949147,-0.0056731915,-0.018581104,-0.047121152,0.01509127,0.011203111,0.029647911,-0.0140830325,-0.047567043,-0.086193204,0.012121171,0.0037169037,0.055762958,0.023613522,-0.05646069,0.0068432945,-0.048240025,0.011643537,-0.059135888,-0.018996963,-0.019465288,-0.0066959076,-0.054441534
